,Fecha,Strike,volat impli
0,24/06/2022,8200.0,54.87060546875
1,24/06/2022,8300.0,48.15673828125
0,01/07/2022,8400.0,27.740478515625
0,08/07/2022,8400.0,22.918701171875
1,08/07/2022,8500.0,22.15576171875
0,15/07/2022,8100.0,25.1617431640625
1,15/07/2022,8300.0,24.0325927734375
2,15/07/2022,8400.0,23.529052734375
3,15/07/2022,8500.0,22.9949951171875
4,15/07/2022,8600.0,22.3388671875
5,15/07/2022,8700.0,21.78955078125
0,16/09/2022,9100.0,20.3399658203125
0,16/12/2022,9600.0,18.707275390625
