,Fecha,Strike,volat impli
0,24/06/2022,7800.0,32.71484375
1,24/06/2022,7900.0,31.005859375
2,24/06/2022,8000.0,25.93994140625
3,24/06/2022,8200.0,1e-05
4,24/06/2022,8300.0,1e-05
5,24/06/2022,8600.0,1e-05
0,01/07/2022,7600.0,30.303955078125
0,08/07/2022,7300.0,32.71484375
1,08/07/2022,7400.0,31.8603515625
2,08/07/2022,7500.0,30.8837890625
0,15/07/2022,7200.0,33.50830078125
1,15/07/2022,7400.0,31.6925048828125
2,15/07/2022,7500.0,30.670166015625
3,15/07/2022,8100.0,25.1617431640625
4,15/07/2022,8300.0,24.0325927734375
0,19/08/2022,6800.0,34.393310546875
0,16/12/2022,5000.0,42.572021484375
